name,type,inflow
Base,Base,0.0
Launch,Launch,421568.9146304392
Spike1_2023-03-23,Other,132253.9362200668
Spike2_2023-04-06,Other,104644.31932157361
Spike3_2023-04-20,Other,84666.26404831426
S2/CantoIV,Season,58113.308814177886
Spike4_2023-06-09,Other,26864.974230833333
S2/Story_CantoIV,Story,35961.78243118965
Spike5_2023-06-29,Other,84520.51738286317
Spike6_2023-07-13,Other,41189.747025475546
Spike7_2023-07-27,Other,0.0
Spike8_2023-08-24,Other,0.0
Spike9_2023-09-07,Other,0.0
Spike10_2023-09-15,Other,54198.29355626451
Spike11_2023-09-23,Other,0.0
WN1,Walpurgis,3880.2029838771523
S3/CantoV,Season,48622.79014020215
Spike12_2023-11-24,Other,22823.174157703557
S3/Story_CantoV,Story,54461.87670982074
Spike13_2023-12-14,Other,66142.26242151746
Spike14_2023-12-22,Other,40993.30272398929
Spike15_2023-12-30,Other,63343.248192243285
WN2,Walpurgis,71910.02562127096
Spike16_2024-02-01,Other,53796.70849466379
Spike17_2024-02-22,Other,136115.49505686315
S4/CantoVI,Season,43176.975500468805
Spike18_2024-04-05,Other,23047.0885801435
S4/Story_CantoVI,Story,97397.75755295285
WN3,Walpurgis,169295.78605348777
Spike19_2024-05-16,Other,0.0
Spike20_2024-06-13,Other,119341.33396948408
Spike21_2024-06-27,Other,28102.208595827866
Spike22_2024-07-25,Other,36138.3116292855
Spike23_2024-08-08,Other,159845.40783768822
Spike24_2024-08-22,Other,77142.66831011602
WN4,Walpurgis,97667.03095049535
Spike25_2024-10-03,Other,67535.85900467649
S5/CantoVII,Season,118029.5159871249
Spike26_2024-10-19,Other,72474.8321726315
S5/Story_CantoVII,Story,166749.64587991923
Spike27_2024-11-14,Other,67689.7676563889
Spike28_2024-11-23,Other,160832.2040671897
Spike29_2024-12-12,Other,107055.97764916018
Spike30_2024-12-26,Other,115381.30962433368
WN5,Walpurgis,207781.90355241488
Spike31_2025-01-23,Other,146767.44602279633
Spike32_2025-02-06,Other,190757.7349378051
Spike33_2025-02-20,Other,111534.49660631717
Spike34_2025-02-28,Other,134965.08458264667
Spike35_2025-03-08,Other,76384.03805395305
Spike36_2025-03-20,Other,214176.78264651934
S6/CantoVIII,Season,290408.0814936432
Spike37_2025-05-23,Other,153801.46544468624
S6/Story_CantoVIII,Story,295655.5853719429
WN6,Walpurgis,489698.126430204
Spike38_2025-07-31,Other,192320.52671760053
Spike39_2025-08-14,Other,251884.2125726701
Spike40_2025-08-28,Other,324450.2390955368
Collab_Arknights,Collab,780733.2176466694
WN7,Walpurgis,278472.0286949438
S7/CantoIX,Season,273291.4934760199
Spike41_2026-01-08,Other,129358.9213749171
S7/Story_CantoIX,Story,353819.74597068
Spike42_2026-02-19,Other,249586.9556344847
WN8,Walpurgis,727439.545353575
Spike43_2026-03-13,Other,188156.6859003639
Spike44_2026-04-16,Other,284882.97319435165
Spike45_2026-04-30,Other,287711.232811402
Spike46_2026-05-14,Other,173155.4686577041
Spike47_2026-05-28,Other,264838.9082116127
Spike48_2026-06-11,Other,265465.02356685215
Spike49_2026-06-25,Other,93468.26370348931
